playerID,yearID,league,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS
aardsda01,2012,AL,NYA,1,,,,,,,,,
aardsda01,2010,AL,SEA,53,0,0,0,0,0,0,0,0,0
aardsda01,2009,AL,SEA,73,0,0,0,0,0,0,0,0,0
aardsda01,2008,AL,BOS,47,1,0,0,0,0,0,0,0,0
aardsda01,2007,AL,CHA,25,0,0,0,0,0,0,0,0,0
abadfe01,2012,NL,HOU,37,7,0,1,0,0,0,0,0,0
abadfe01,2011,NL,HOU,28,0,0,0,0,0,0,0,0,0
abadfe01,2010,NL,HOU,22,1,0,0,0,0,0,0,0,0
abercre01,2008,NL,HOU,34,55,10,17,5,0,2,5,5,2
abercre01,2007,NL,FLO,35,76,16,15,3,0,2,5,7,1
abreubo01,2012,AL,LAA,8,24,1,5,3,0,0,5,0,0
abreubo01,2012,NL,LAN,92,195,28,48,8,1,3,19,6,2
abreubo01,2011,AL,LAA,142,502,54,127,30,1,8,60,21,5
abreubo01,2010,AL,LAA,154,573,88,146,41,1,20,78,24,10
abreubo01,2009,AL,LAA,152,563,96,165,29,3,15,103,30,8
abreubo01,2008,AL,NYA,156,609,100,180,39,4,20,100,22,11
abreubo01,2007,AL,NYA,158,605,123,171,40,5,16,101,25,8
abreuju01,2011,NL,HOU,7,0,0,0,0,0,0,0,0,0
abreuto01,2012,AL,KCA,22,70,5,18,2,1,1,15,0,0
abreuto01,2010,NL,ARI,81,193,16,45,11,1,1,13,2,1
abreuto01,2009,NL,LAN,6,8,0,2,0,0,0,1,0,1
abreuto01,2007,NL,LAN,59,166,19,45,14,1,2,17,0,0
abreuwi01,2009,AL,TBA,2,0,0,0,0,0,0,0,0,0
abreuwi01,2007,NL,WAS,26,2,0,0,0,0,0,0,0,0
accarje01,2012,AL,CLE,26,0,0,0,0,0,0,0,0,0
accarje01,2012,AL,OAK,1,,,,,,,,,
accarje01,2011,AL,BAL,1,0,0,0,0,0,0,0,0,0
accarje01,2009,AL,TOR,26,0,0,0,0,0,0,0,0,0
accarje01,2008,AL,TOR,16,,,,,,,,,
accarje01,2007,AL,TOR,64,0,0,0,0,0,0,0,0,0
aceveal01,2012,AL,BOS,69,0,0,0,0,0,0,0,0,0
aceveal01,2011,AL,BOS,2,0,0,0,0,0,0,0,0,0
aceveal01,2010,AL,NYA,10,0,0,0,0,0,0,0,0,0
aceveal01,2009,AL,NYA,43,2,0,0,0,0,0,0,0,0
aceveal01,2008,AL,NYA,6,,,,,,,,,
ackledu01,2012,AL,SEA,153,607,84,137,22,2,12,50,13,3
ackledu01,2011,AL,SEA,90,333,39,91,16,7,6,36,6,0
acostma01,2012,NL,NYN,45,0,0,0,0,0,0,0,0,0
acostma01,2011,NL,NYN,41,0,0,0,0,0,0,0,0,0
acostma01,2010,NL,NYN,41,0,0,0,0,0,0,0,0,0
acostma01,2009,NL,ATL,36,1,0,0,0,0,0,0,0,0
acostma01,2008,NL,ATL,46,5,0,0,0,0,0,0,0,0
acostma01,2007,NL,ATL,21,0,0,0,0,0,0,0,0,0
adamsma01,2012,NL,SLN,27,86,8,21,6,0,2,13,0,0
adamsmi03,2012,AL,TEX,61,0,0,0,0,0,0,0,0,0
adamsmi03,2011,NL,SDN,45,0,0,0,0,0,0,0,0,0
adamsmi03,2011,AL,TEX,1,0,0,0,0,0,0,0,0,0
adamsmi03,2010,NL,SDN,70,0,0,0,0,0,0,0,0,0
adamsmi03,2009,NL,SDN,37,0,0,0,0,0,0,0,0,0
adamsmi03,2008,NL,SDN,54,2,0,0,0,0,0,0,0,0
adamsru01,2009,AL,TOR,8,20,2,4,0,0,0,0,0,0
adamsru01,2007,AL,TOR,27,60,14,14,3,0,2,12,2,1
adamsry01,2011,AL,BAL,29,89,9,25,4,0,0,7,0,0
adcocna01,2012,AL,KCA,12,1,0,0,0,0,0,0,0,0
adcocna01,2011,AL,KCA,1,0,0,0,0,0,0,0,0,0
